2015-06-01 01:00:00 29
2015-06-01 02:00:00 29
2015-06-01 03:00:00 30
2015-06-01 04:00:00 31
2015-06-01 05:00:00 32
2015-06-01 06:00:00 33
2015-06-01 07:00:00 34
2015-06-01 08:00:00 36
2015-06-01 09:00:00 39
2015-06-01 10:00:00 42
2015-06-01 11:00:00 46
2015-06-01 12:00:00 49
2015-06-01 13:00:00 53
2015-06-01 14:00:00 55
2015-06-01 15:00:00 57
2015-06-01 16:00:00 56
2015-06-01 17:00:00 54
2015-06-01 18:00:00 51
2015-06-01 19:00:00 48
2015-06-01 20:00:00 45
2015-06-01 21:00:00 41
2015-06-01 22:00:00 37
2015-06-01 23:00:00 33
2015-06-01 24:00:00 62
